mean,std,episode,x
0.077, 1.360, 402, 
0.077, 1.926, 403, 
0.062, 2.039, 404, 
0.036, 1.709, 405, 
0.042, 1.492, 406, 
0.072, 1.672, 407, 
0.073, 1.504, 408, 
0.055, 1.493, 409, 
-0.002, 3.276, 410, 
0.040, 0.961, 411, 
0.020, 1.384, 412, 
0.007, 2.416, 413, 
0.037, 1.360, 414, 
0.075, 1.120, 415, 
0.038, 1.027, 416, 
0.058, 1.496, 417, 
0.027, 1.005, 418, 
0.038, 1.005, 419, 
0.009, 2.413, 420, 
0.009, 1.065, 421, 
0.087, 1.412, 422, 
0.047, 0.833, 423, 
0.065, 1.478, 424, 
0.066, 1.907, 425, 
0.051, 1.595, 426, 
0.018, 1.258, 427, 
0.057, 2.272, 428, 
0.087, 1.439, 429, 
0.038, 1.329, 430, 
0.065, 1.527, 431, 
0.074, 1.489, 432, 
0.048, 1.561, 433, 
0.042, 0.981, 434, 
0.040, 0.833, 435, 
0.044, 1.341, 436, 
0.053, 2.074, 437, 
0.077, 1.895, 438, 
0.066, 1.314, 439, 
0.080, 1.277, 440, 
0.096, 1.277, 441, 
0.068, 1.438, 442, 
0.095, 1.537, 443, 
0.042, 1.017, 444, 
0.040, 1.589, 445, 
0.032, 2.459, 446, 
0.076, 1.594, 447, 
0.103, 1.261, 448, 
0.034, 1.465, 449, 
0.116, 1.709, 450, 
0.054, 1.601, 451, 
0.022, 1.739, 452, 
0.043, 1.009, 453, 
0.086, 3.332, 454, 
0.089, 1.372, 455, 
0.041, 1.136, 456, 
0.041, 1.309, 457, 
0.076, 1.591, 458, 
0.044, 1.102, 459, 
-0.019, 2.922, 460, 
0.018, 1.068, 461, 
0.057, 1.440, 462, 
0.060, 3.361, 463, 
0.016, 1.160, 464, 
0.036, 0.970, 465, 
0.059, 2.757, 466, 
0.061, 2.032, 467, 
0.051, 1.773, 468, 
0.017, 0.891, 469, 
0.065, 1.193, 470, 
0.045, 1.761, 471, 
0.043, 0.821, 472, 
0.038, 1.105, 473, 
0.056, 2.641, 474, 
0.080, 1.885, 475, 
-0.002, 1.123, 476, 
0.044, 0.819, 477, 
0.050, 1.736, 478, 
0.019, 2.655, 479, 
0.082, 1.601, 480, 
0.039, 1.172, 481, 
0.023, 1.147, 482, 
0.066, 1.230, 483, 
0.098, 2.115, 484, 
0.007, 2.144, 485, 
0.058, 1.469, 486, 
0.028, 1.150, 487, 
0.046, 1.672, 488, 
0.015, 0.816, 489, 
0.080, 3.339, 490, 
0.069, 1.445, 491, 
0.026, 1.258, 492, 
0.028, 1.643, 493, 
0.033, 1.750, 494, 
0.068, 1.369, 495, 
0.102, 1.834, 496, 
0.040, 0.988, 497, 
0.033, 1.110, 498, 
0.051, 2.197, 499, 
0.039, 1.373, 500, 
0.036, 0.960, 501, 
0.069, 1.442, 502, 
0.036, 1.084, 503, 
0.044, 1.874, 504, 
0.057, 1.174, 505, 
0.044, 0.962, 506, 
0.036, 1.097, 507, 
0.090, 1.849, 508, 
0.052, 1.203, 509, 
0.014, 1.941, 510, 
0.051, 1.583, 511, 
0.069, 1.122, 512, 
0.057, 1.192, 513, 
0.048, 1.818, 514, 
0.056, 1.191, 515, 
0.088, 2.554, 516, 
0.041, 1.371, 517, 
0.054, 1.475, 518, 
0.046, 0.982, 519, 
0.016, 1.636, 520, 
0.008, 1.063, 521, 
0.024, 0.887, 522, 
0.067, 1.368, 523, 
0.077, 1.618, 524, 
0.037, 1.331, 525, 
0.046, 1.586, 526, 
0.050, 1.234, 527, 
